cust_id,application_date,age,monthly_income,employment_type,residential_status,credit_limit,debt_to_income,bureau_score,inq_6m,delinq_12m,active_trades,default_12m,inq_3m,delinq_6m,residence_tenure,emi_to_income_ratio,new_trades_3m,utilization_ratio,thin_file_flag,ptp_flag_bureau,education_level,gender,marital_status,risk_region_flag,channel_code
CUST000047,2022-06-16,35,17021.0,SALARIED,OWN,30000,0.35,675.0,5,1,4,0,4,1,15,0.19,0,0.72,0,0,OTHER,FEMALE,SINGLE,0,DSA
CUST000048,2022-10-01,62,10009.0,SELF-EMPLOYED,OTHER,5000,0.25,588.0,3,0,5,1,1,0,13,0.2,1,0.09,0,0,BACHELORS,FEMALE,MARRIED,1,BRANCH
CUST000049,2022-03-30,35,6927.0,SALARIED,OWN,5000,0.62,700.0,3,0,5,0,2,0,12,0.28,1,0.13,0,0,BACHELORS,MALE,SINGLE,0,BRANCH
CUST000050,2022-11-12,35,11327.0,SELF-EMPLOYED,OTHER,15000,0.44,626.0,1,0,1,0,0,0,3,0.16,1,0.5,1,0,BACHELORS,MALE,SINGLE,1,DSA
CUST000051,2022-01-14,59,12273.0,SELF-EMPLOYED,OWN,15000,0.05,747.0,3,0,6,0,1,0,18,0.31,1,0.28,0,0,BACHELORS,MALE,SINGLE,0,DSA
CUST000052,2022-08-30,33,5014.0,SALARIED,OWN,15000,0.28,602.0,1,0,4,0,0,0,11,0.21,1,0.29,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000053,2022-09-22,37,13327.0,SALARIED,RENT,15000,0.14,678.0,1,0,3,0,0,0,12,0.24,1,0.15,0,0,OTHER,MALE,SINGLE,0,ONLINE
CUST000054,2022-12-12,52,7811.0,SALARIED,RENT,20000,0.23,564.0,6,0,6,0,1,0,2,0.24,2,0.28,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000055,2022-02-22,29,18844.0,SELF-EMPLOYED,OWN,5000,0.33,567.0,3,0,4,0,0,0,4,0.18,2,0.38,0,0,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000056,2022-12-06,60,14096.0,SALARIED,OWN,50000,0.4,633.0,1,0,5,0,0,0,14,0.27,3,0.45,0,0,MASTERS,FEMALE,SINGLE,0,BRANCH
CUST000057,2022-04-02,40,10400.0,SALARIED,OWN,10000,0.39,640.0,1,0,4,0,0,0,0,0.51,1,0.55,0,0,MASTERS,MALE,SINGLE,0,BRANCH
CUST000058,2022-09-21,46,9019.0,SALARIED,OWN,30000,0.51,748.0,2,0,5,0,2,0,19,0.4,1,0.3,0,0,MASTERS,MALE,SINGLE,0,DSA
CUST000059,2022-02-04,47,11580.0,SALARIED,RENT,10000,0.45,673.0,0,0,2,0,0,0,8,0.18,1,0.17,0,0,OTHER,MALE,SINGLE,0,DSA
CUST000060,2022-07-25,41,14451.0,SALARIED,RENT,10000,0.44,740.0,1,0,5,0,1,0,1,0.05,3,0.29,0,0,MASTERS,MALE,MARRIED,1,DSA
CUST000061,2022-03-22,38,11898.0,SALARIED,OWN,10000,0.38,656.0,1,0,2,1,1,0,16,0.05,1,0.4,0,0,MASTERS,MALE,SINGLE,0,BRANCH
CUST000062,2022-02-19,33,11131.0,SELF-EMPLOYED,RENT,50000,0.54,705.0,0,1,5,0,0,0,8,0.05,2,0.43,0,0,BACHELORS,MALE,DIVORCED,0,ONLINE
CUST000063,2022-12-26,36,12233.0,SELF-EMPLOYED,OWN,5000,0.3,639.0,2,0,2,0,0,0,6,0.17,1,0.3,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000064,2022-01-02,29,9585.0,SALARIED,RENT,20000,0.31,635.0,1,0,3,1,1,0,11,0.2,1,0.1,0,0,OTHER,FEMALE,SINGLE,0,DSA
CUST000065,2022-02-23,32,10627.0,SALARIED,RENT,30000,0.06,584.0,2,0,2,1,1,0,4,0.17,0,0.14,0,0,BACHELORS,MALE,MARRIED,1,DSA
CUST000066,2022-04-16,64,3657.0,SELF-EMPLOYED,OTHER,20000,0.51,692.0,1,0,2,0,0,0,11,0.05,0,0.55,0,0,BACHELORS,MALE,MARRIED,0,ONLINE
CUST000067,2022-09-17,58,15895.0,SALARIED,OWN,15000,0.34,688.0,1,0,4,0,1,0,7,0.22,0,0.39,0,0,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000068,2022-11-06,39,13195.0,SELF-EMPLOYED,RENT,50000,0.79,714.0,1,0,2,0,1,0,4,0.35,0,0.48,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000069,2022-07-10,27,8906.0,SALARIED,OWN,30000,0.29,686.0,2,0,6,0,0,0,14,0.41,1,0.33,0,0,MASTERS,MALE,MARRIED,0,ONLINE
CUST000070,2022-08-06,55,19595.0,SALARIED,RENT,15000,0.36,776.0,2,1,8,0,0,0,1,0.3,0,0.37,0,0,OTHER,MALE,MARRIED,0,ONLINE
CUST000071,2022-02-13,38,12348.0,SALARIED,OWN,15000,0.43,684.0,0,0,5,0,0,0,2,0.23,0,0.2,0,0,MASTERS,FEMALE,SINGLE,1,BRANCH
CUST000072,2022-06-11,36,7855.0,SALARIED,OWN,50000,0.18,725.0,1,0,4,0,0,0,1,0.12,3,0.11,0,0,BACHELORS,MALE,MARRIED,0,DSA
CUST000073,2022-07-21,59,15427.0,SELF-EMPLOYED,RENT,50000,0.4,659.0,1,0,1,1,1,0,10,0.31,0,0.14,1,0,BACHELORS,MALE,MARRIED,1,ONLINE
CUST000074,2022-09-27,24,13592.0,SALARIED,OWN,15000,0.36,630.0,2,0,4,0,0,0,5,0.05,0,0.5,0,0,OTHER,FEMALE,SINGLE,0,BRANCH
CUST000075,2022-12-17,45,13578.0,SALARIED,RENT,30000,0.3,711.0,0,0,5,0,0,0,1,0.16,2,0.06,0,0,OTHER,FEMALE,MARRIED,0,BRANCH
CUST000076,2022-10-31,52,10297.0,SALARIED,RENT,15000,0.53,671.0,1,0,7,0,1,0,2,0.11,1,0.1,0,0,BACHELORS,MALE,DIVORCED,0,DSA
CUST000077,2022-09-28,60,13802.0,SELF-EMPLOYED,RENT,15000,0.21,717.0,1,0,10,1,1,0,15,0.3,0,0.1,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000078,2022-08-03,33,10953.0,SALARIED,OWN,10000,0.39,693.0,5,0,6,0,4,0,19,0.31,3,0.47,0,0,OTHER,MALE,DIVORCED,0,BRANCH
CUST000079,2022-09-09,37,14224.0,SELF-EMPLOYED,OWN,10000,0.57,635.0,1,0,3,0,0,0,17,0.16,2,0.19,0,1,MASTERS,FEMALE,DIVORCED,0,ONLINE
CUST000080,2022-07-09,57,4380.0,SALARIED,OTHER,20000,0.24,729.0,1,0,6,0,0,0,16,0.23,1,0.2,0,0,BACHELORS,MALE,SINGLE,0,ONLINE
CUST000081,2022-10-23,26,10265.0,SALARIED,OWN,15000,0.31,631.0,2,1,3,0,1,0,16,0.35,2,0.19,0,0,MASTERS,MALE,SINGLE,0,BRANCH
CUST000082,2022-08-01,39,18889.0,SELF-EMPLOYED,RENT,10000,0.7,706.0,1,2,3,0,1,2,9,0.16,2,0.45,0,1,MASTERS,FEMALE,MARRIED,0,ONLINE
CUST000083,2022-07-27,33,8932.0,SALARIED,RENT,15000,0.42,739.0,0,0,2,1,0,0,4,0.17,1,0.53,0,0,BACHELORS,MALE,DIVORCED,1,BRANCH
CUST000084,2022-08-25,46,9585.0,SALARIED,OTHER,15000,0.27,656.0,0,0,4,0,0,0,11,0.36,4,0.41,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000085,2022-12-04,34,10208.0,SALARIED,RENT,50000,0.47,733.0,2,0,8,0,2,0,1,0.25,0,0.28,0,0,BACHELORS,FEMALE,SINGLE,1,DSA
CUST000086,2022-02-22,51,7141.0,SALARIED,RENT,30000,0.26,695.0,1,0,5,0,1,0,8,0.32,2,0.25,0,0,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000087,2022-10-07,24,3167.0,SALARIED,OWN,15000,0.12,718.0,2,0,2,0,2,0,5,0.26,0,0.34,0,0,BACHELORS,FEMALE,SINGLE,0,ONLINE
CUST000088,2022-08-05,59,11078.0,SALARIED,OWN,30000,0.56,633.0,1,0,2,1,0,0,6,0.35,4,0.3,0,0,MASTERS,MALE,SINGLE,0,BRANCH
CUST000089,2022-09-09,28,12543.0,SALARIED,OWN,15000,0.18,686.0,2,1,5,0,0,0,12,0.28,0,0.12,0,0,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000090,2022-07-07,45,11790.0,SALARIED,RENT,20000,0.72,605.0,1,0,4,0,1,0,8,0.19,0,0.62,0,1,MASTERS,FEMALE,MARRIED,1,BRANCH
CUST000091,2022-02-10,33,11420.0,SALARIED,RENT,50000,0.28,761.0,2,0,3,1,0,0,2,0.26,0,0.3,0,0,MASTERS,MALE,MARRIED,0,BRANCH
CUST000092,2022-06-06,52,12172.0,SALARIED,RENT,15000,0.67,574.0,0,0,5,1,0,0,15,0.36,1,0.05,0,0,BACHELORS,MALE,MARRIED,1,BRANCH
CUST000093,2022-01-15,58,16091.0,SELF-EMPLOYED,RENT,20000,0.14,657.0,2,0,4,0,2,0,3,0.21,2,0.34,0,0,OTHER,MALE,SINGLE,0,ONLINE
CUST000094,2022-10-28,58,11238.0,SELF-EMPLOYED,RENT,10000,0.5,628.0,1,1,3,0,1,0,6,0.35,0,0.54,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000095,2022-03-06,48,9704.0,SALARIED,OWN,10000,0.42,709.0,0,0,6,1,0,0,16,0.22,5,0.41,0,0,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000096,2022-12-11,50,10875.0,SALARIED,OWN,15000,0.48,771.0,4,0,5,0,4,0,19,0.2,5,0.39,0,0,BACHELORS,MALE,SINGLE,0,DSA
CUST000097,2022-11-23,23,14317.0,SELF-EMPLOYED,OWN,50000,0.5,708.0,2,0,2,0,2,0,14,0.33,0,0.29,0,0,MASTERS,FEMALE,SINGLE,0,BRANCH
CUST000098,2022-01-09,48,17648.0,SALARIED,RENT,15000,0.28,823.0,4,0,5,0,4,0,8,0.17,0,0.23,0,0,OTHER,MALE,DIVORCED,0,BRANCH
CUST000099,2022-12-10,23,9487.0,SALARIED,OWN,30000,0.15,606.0,3,1,3,1,3,0,6,0.39,1,0.09,0,0,OTHER,MALE,MARRIED,1,ONLINE
CUST000100,2022-05-09,54,12396.0,SELF-EMPLOYED,RENT,30000,0.34,610.0,4,0,3,0,3,0,2,0.36,1,0.33,0,0,MASTERS,MALE,SINGLE,0,BRANCH
CUST000101,2022-05-16,36,13353.0,SALARIED,RENT,10000,0.38,630.0,3,0,4,0,0,0,2,0.13,1,0.27,0,0,OTHER,MALE,MARRIED,1,DSA
CUST000102,2022-03-04,42,8030.0,SALARIED,OWN,15000,0.28,681.0,2,0,9,0,0,0,2,0.34,0,0.57,0,0,MASTERS,MALE,MARRIED,0,DSA
CUST000103,2022-05-19,52,12082.0,SELF-EMPLOYED,OWN,20000,0.39,624.0,3,0,1,0,1,0,14,0.34,1,0.07,1,0,BACHELORS,MALE,MARRIED,0,ONLINE
CUST000104,2022-03-22,58,6137.0,SALARIED,OWN,15000,0.4,637.0,1,0,2,0,0,0,10,0.24,0,0.16,0,0,MASTERS,MALE,DIVORCED,1,BRANCH
CUST000105,2022-06-12,28,4924.0,SALARIED,OWN,5000,0.21,706.0,1,0,4,0,1,0,5,0.26,2,0.05,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000106,2022-10-16,28,13467.0,SALARIED,RENT,50000,0.41,613.0,0,0,7,0,0,0,13,0.11,1,0.23,0,0,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000107,2022-09-18,26,10465.0,SALARIED,OWN,20000,0.31,618.0,3,0,4,0,1,0,12,0.36,1,0.03,0,0,MASTERS,FEMALE,MARRIED,0,DSA
CUST000108,2022-08-19,34,12809.0,SELF-EMPLOYED,RENT,15000,0.25,655.0,1,0,2,0,0,0,1,0.17,0,0.23,0,0,BACHELORS,FEMALE,MARRIED,0,DSA
CUST000109,2022-02-10,52,11928.0,SALARIED,RENT,20000,0.47,660.0,1,1,4,0,0,0,12,0.05,1,0.2,0,0,MASTERS,MALE,MARRIED,0,DSA
CUST000110,2022-01-28,55,8094.0,SALARIED,OWN,5000,0.23,726.0,4,0,5,0,1,0,12,0.19,1,0.25,0,0,BACHELORS,FEMALE,SINGLE,0,DSA
CUST000111,2022-05-15,30,11819.0,SELF-EMPLOYED,RENT,15000,0.28,630.0,1,0,2,0,0,0,15,0.16,2,0.34,0,0,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000112,2022-07-20,23,7068.0,SALARIED,RENT,30000,0.36,639.0,1,0,5,1,1,0,0,0.27,5,0.59,0,0,BACHELORS,MALE,MARRIED,0,ONLINE
CUST000113,2022-11-24,32,17564.0,SALARIED,RENT,30000,0.56,704.0,1,0,4,0,1,0,1,0.39,0,0.07,0,1,OTHER,FEMALE,DIVORCED,0,BRANCH
CUST000114,2022-09-25,51,6576.0,SALARIED,OWN,15000,0.38,715.0,1,1,3,0,0,1,1,0.28,1,0.28,0,0,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000115,2022-02-02,49,11217.0,SALARIED,OWN,15000,0.43,746.0,2,2,3,0,2,0,3,0.33,0,0.07,0,0,BACHELORS,MALE,MARRIED,1,ONLINE
CUST000116,2022-02-17,25,7831.0,SALARIED,OWN,20000,0.31,698.0,1,0,6,1,1,0,1,0.47,0,0.23,0,0,OTHER,FEMALE,SINGLE,0,BRANCH
CUST000117,2022-03-03,45,14282.0,SELF-EMPLOYED,OWN,15000,0.34,682.0,2,0,3,0,2,0,19,0.22,0,0.16,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000118,2022-08-04,61,10674.0,SELF-EMPLOYED,RENT,5000,0.34,704.0,2,0,5,0,1,0,3,0.05,0,0.32,0,0,BACHELORS,FEMALE,SINGLE,1,BRANCH
CUST000119,2022-10-20,51,9925.0,SALARIED,RENT,15000,0.39,662.0,2,0,3,0,2,0,12,0.15,0,0.3,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000120,2022-04-09,41,15413.0,SALARIED,OTHER,20000,0.31,661.0,4,0,6,0,4,0,12,0.28,2,0.01,0,0,BACHELORS,FEMALE,MARRIED,0,DSA
CUST000121,2022-06-21,40,12118.0,SALARIED,OWN,5000,0.55,586.0,0,0,5,1,0,0,0,0.16,0,0.24,0,0,BACHELORS,MALE,SINGLE,0,DSA
CUST000122,2022-12-26,59,14067.0,SALARIED,OWN,5000,0.29,720.0,2,0,4,0,2,0,2,0.33,2,0.48,0,0,BACHELORS,MALE,SINGLE,0,DSA
CUST000123,2022-08-02,42,8075.0,SALARIED,RENT,10000,0.09,686.0,0,0,7,0,0,0,19,0.13,1,0.05,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000124,2022-02-04,24,6381.0,SELF-EMPLOYED,OWN,15000,0.76,714.0,2,0,4,0,2,0,14,0.13,2,0.4,0,0,MASTERS,FEMALE,MARRIED,0,DSA
CUST000125,2022-08-15,33,12429.0,SALARIED,OWN,15000,0.3,534.0,2,0,3,1,1,0,2,0.12,0,0.03,0,0,MASTERS,MALE,MARRIED,0,ONLINE
CUST000126,2022-04-11,62,10725.0,SALARIED,RENT,10000,0.55,673.0,2,0,4,0,0,0,0,0.48,1,0.06,0,0,OTHER,MALE,MARRIED,0,DSA
CUST000127,2022-05-11,40,14506.0,SALARIED,OWN,10000,0.56,632.0,1,0,4,1,0,0,13,0.23,1,0.13,0,0,OTHER,MALE,SINGLE,0,ONLINE
CUST000128,2022-09-14,33,11680.0,SALARIED,RENT,30000,0.49,750.0,1,0,5,0,0,0,9,0.22,3,0.27,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000129,2022-01-05,37,12820.0,SALARIED,OWN,10000,0.32,706.0,2,0,4,0,0,0,10,0.34,1,0.62,0,0,MASTERS,FEMALE,MARRIED,0,ONLINE
CUST000130,2022-08-06,56,5506.0,SALARIED,RENT,15000,0.39,687.0,2,0,8,0,0,0,7,0.32,2,0.4,0,0,OTHER,FEMALE,MARRIED,0,ONLINE
CUST000131,2022-09-12,53,19554.0,SALARIED,RENT,50000,0.16,653.0,0,0,4,0,0,0,0,0.4,2,0.33,0,0,MASTERS,FEMALE,DIVORCED,0,ONLINE
CUST000132,2022-12-25,21,11343.0,SALARIED,OWN,20000,0.65,695.0,2,0,7,0,2,0,12,0.44,1,0.39,0,0,OTHER,MALE,SINGLE,0,BRANCH
CUST000133,2022-10-10,35,14790.0,SALARIED,OTHER,20000,0.22,629.0,2,0,7,1,0,0,10,0.37,1,0.12,0,0,OTHER,FEMALE,MARRIED,0,DSA
CUST000134,2022-07-26,33,8656.0,SALARIED,RENT,15000,0.31,670.0,0,0,9,0,0,0,8,0.3,1,0.29,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000135,2022-01-15,37,13232.0,SALARIED,OTHER,5000,0.36,646.0,3,0,6,1,2,0,10,0.21,2,0.08,0,0,OTHER,MALE,MARRIED,0,BRANCH
CUST000136,2022-12-12,44,6789.0,SELF-EMPLOYED,OWN,20000,0.33,788.0,1,0,6,0,1,0,10,0.35,0,0.37,0,0,MASTERS,FEMALE,MARRIED,0,BRANCH
CUST000137,2022-02-11,28,13808.0,SALARIED,RENT,20000,0.25,748.0,4,0,8,0,0,0,8,0.38,1,0.02,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000138,2022-06-28,47,10576.0,SALARIED,OWN,10000,0.56,728.0,5,0,5,0,4,0,0,0.22,2,0.34,0,0,BACHELORS,FEMALE,SINGLE,0,ONLINE
CUST000139,2022-03-04,43,12117.0,SALARIED,RENT,15000,0.49,600.0,0,0,3,0,0,0,7,0.23,2,0.24,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000140,2022-12-18,28,14792.0,SELF-EMPLOYED,RENT,30000,0.4,718.0,1,0,6,0,0,0,19,0.37,1,0.48,0,0,OTHER,MALE,MARRIED,0,BRANCH
CUST000141,2022-08-19,28,7070.0,SALARIED,OWN,10000,0.29,684.0,2,0,2,0,1,0,2,0.05,1,0.1,0,0,MASTERS,FEMALE,SINGLE,0,DSA
CUST000142,2022-08-29,46,9262.0,SALARIED,OTHER,15000,0.51,736.0,0,0,3,0,0,0,17,0.31,0,0.12,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000143,2022-02-21,33,13829.0,SALARIED,OWN,15000,0.28,691.0,1,0,7,0,1,0,18,0.18,0,0.22,0,1,MASTERS,MALE,MARRIED,0,ONLINE
