cust_id,age,gender,marital_status,education_level,employment_type,monthly_income,residence_type,city,state,application_id,application_date,product_type,channel,requested_amount,tenure_months,account_id,account_open_date,current_balance,emi_amount,bureau_score,total_accounts,active_accounts,overdue_accounts,recent_enquiries_6m,broken_ptp_flag,write_off_flag,legal_case_flag,ptp_kept_ratio,default_6m_flag,snapshot_date,credit_card_utilization_pct,past_due_accounts_count,recent_loan_inquiry_flag,repayment_to_due_ratio,early_repayment_flag,salary_credit_3m
CUST000019,47,F,Married,Post Graduate,Salaried,43531,Owned,West Tara,Kansas,APP000019,2022-01-14,Credit Card,Online,246861,24,ACC000019,2021-02-13,51162,11505.66,319,8,5,2,3,0,0,0,0.46,0,2022-12-31,26.04,5,0,0.82,0,2
CUST000020,68,F,Married,High School,Self-employed,10360,Owned,Brittanyside,Kentucky,APP000020,2022-10-15,Credit Card,Online,47804,60,ACC000020,2020-11-08,115254,1039.37,602,7,2,1,0,1,0,0,0.77,0,2022-12-31,33.7,1,0,0.75,0,3
CUST000021,28,F,Married,Post Graduate,Self-employed,19427,Parental,Brownside,Missouri,APP000021,2022-12-12,Home Loan,Branch,300000,180,ACC000021,2022-04-21,260696,3409.79,858,8,5,0,3,0,0,0,0.88,1,2022-12-31,69.53,1,0,1.2,0,3
CUST000022,64,M,Single,Graduate,Unemployed,19928,Rented,West David,Alaska,APP000022,2022-11-29,Personal Loan,Branch,434070,48,ACC000022,2021-11-02,12336,11218.77,803,1,1,1,2,0,0,0,0.75,1,2022-12-31,81.97,0,0,1.05,0,0
CUST000023,37,F,Single,Graduate,Salaried,29573,Rented,Lake Alejandro,Indiana,APP000023,2022-12-26,Auto Loan,Branch,150000,48,ACC000023,2021-02-16,112822,3876.83,507,9,5,1,4,1,0,0,0.39,0,2022-12-31,82.79,0,0,0.63,0,2
CUST000024,63,M,Single,High School,Unemployed,21783,Parental,East Cynthiaport,Maryland,APP000024,2022-10-07,Home Loan,Online,300000,180,ACC000024,2021-12-03,85328,3409.79,429,4,1,1,3,0,0,0,0.6,0,2022-12-31,44.38,3,0,1.14,0,0
CUST000025,56,M,Married,High School,Self-employed,44070,Parental,West John,Kentucky,APP000025,2022-08-03,Credit Card,Online,288084,12,ACC000025,2021-06-27,164506,25461.34,819,1,1,2,2,0,0,0,0.93,0,2022-12-31,85.46,2,0,1.16,1,3
CUST000026,36,M,Married,Graduate,Self-employed,10724,Parental,East Maryland,West Virginia,APP000026,2022-04-23,Credit Card,DSA,276612,24,ACC000026,2021-09-19,275665,12892.29,456,7,2,2,3,0,0,0,0.29,0,2022-12-31,82.33,1,0,0.8,0,2
CUST000027,33,F,Divorced,Post Graduate,Self-employed,5519,Rented,Walkerchester,Virginia,APP000027,2022-08-18,Auto Loan,Branch,150000,12,ACC000027,2021-06-25,291815,13257.25,615,1,1,2,1,0,0,0,0.81,1,2022-12-31,89.53,2,0,0.99,1,3
CUST000028,33,F,Single,Post Graduate,Salaried,32908,Parental,Clarkeberg,Nebraska,APP000028,2022-10-29,Home Loan,Online,300000,180,ACC000028,2020-10-15,6345,3409.79,421,6,3,1,2,0,0,0,0.51,0,2022-12-31,76.75,1,0,1.01,0,3
CUST000029,53,M,Married,High School,Unemployed,10548,Rented,New John,Kansas,APP000029,2022-09-06,Credit Card,Branch,42073,48,ACC000029,2022-01-16,298976,1087.4,794,4,4,0,1,0,0,0,0.97,0,2022-12-31,66.86,0,0,1.04,0,0
CUST000030,33,M,Divorced,Post Graduate,Self-employed,13571,Owned,Karenhaven,New Hampshire,APP000030,2022-02-13,Home Loan,Branch,300000,180,ACC000030,2022-02-08,283955,3409.79,489,7,1,1,1,0,0,0,0.89,0,2022-12-31,59.36,1,0,1.02,0,2
CUST000031,46,M,Single,Post Graduate,Unemployed,32546,Parental,West Cynthia,Rhode Island,APP000031,2022-03-23,Credit Card,Online,356853,24,ACC000031,2021-05-12,111399,16632.15,715,5,3,1,3,0,0,0,0.56,0,2022-12-31,41.64,0,0,0.94,0,0
CUST000032,24,F,Single,Post Graduate,Self-employed,31789,Owned,Rhondaville,Georgia,APP000032,2022-12-24,Credit Card,Online,450362,36,ACC000032,2020-12-24,216955,14744.27,303,8,1,2,2,0,0,0,0.41,1,2022-12-31,89.91,0,0,1.17,0,1
CUST000033,50,M,Married,High School,Salaried,25019,Parental,West Johnstad,Michigan,APP000033,2022-08-17,Personal Loan,Branch,421138,36,ACC000033,2021-11-01,86403,13787.52,382,4,1,1,3,0,0,0,0.44,0,2022-12-31,92.76,1,1,0.91,0,3
CUST000034,40,M,Single,Graduate,Unemployed,36699,Parental,North Andrewland,Ohio,APP000034,2022-09-09,Home Loan,DSA,300000,180,ACC000034,2021-10-21,216419,3409.79,477,1,1,2,4,0,0,0,0.62,0,2022-12-31,34.13,2,0,0.67,0,0
CUST000035,47,M,Married,Graduate,Unemployed,25989,Owned,Colleenview,Maine,APP000035,2022-08-20,Personal Loan,Mobile,460179,60,ACC000035,2022-08-15,41129,10005.41,746,9,2,1,1,0,0,0,0.89,0,2022-12-31,35.96,1,0,0.65,0,0
CUST000036,37,M,Single,High School,Unemployed,5967,Rented,Lake Sandra,Connecticut,APP000036,2022-03-21,Auto Loan,Branch,150000,24,ACC000036,2021-12-21,153813,6991.18,644,8,5,0,2,0,0,0,0.04,0,2022-12-31,51.28,2,0,0.61,0,0
CUST000037,51,F,Married,High School,Salaried,49515,Rented,North Anitamouth,Wyoming,APP000037,2022-06-10,Auto Loan,Branch,150000,36,ACC000037,2022-06-05,227895,4910.81,858,1,1,2,0,0,0,0,0.67,0,2022-12-31,48.12,4,0,0.86,0,1
CUST000038,42,M,Single,Post Graduate,Unemployed,42700,Rented,Lake Matthewberg,Nevada,APP000038,2022-11-12,Personal Loan,Branch,11274,12,ACC000038,2022-02-18,243757,996.41,762,9,5,1,3,0,0,0,0.97,0,2022-12-31,94.53,1,0,0.76,0,0
CUST000039,36,M,Married,Post Graduate,Salaried,17553,Parental,Blanchardside,Minnesota,APP000039,2022-02-22,Personal Loan,Branch,417603,60,ACC000039,2022-01-16,1286,9079.7,568,6,3,0,1,0,0,0,0.17,0,2022-12-31,24.95,0,0,1.14,0,2
CUST000040,24,F,Single,Graduate,Unemployed,47233,Rented,Gabrielfurt,Florida,APP000040,2022-02-17,Auto Loan,Branch,113801,48,ACC000040,2021-03-20,161766,2941.25,368,1,1,2,4,0,0,0,0.79,0,2022-12-31,11.54,0,0,1.12,1,0
CUST000041,34,F,Married,High School,Salaried,21875,Rented,North Joshuaville,Louisiana,APP000041,2022-07-14,Credit Card,Branch,162878,12,ACC000041,2021-02-15,106407,14395.43,419,8,3,0,4,0,0,0,0.07,0,2022-12-31,51.98,0,0,1.1,0,1
CUST000042,60,M,Divorced,Post Graduate,Unemployed,7596,Owned,East Rebeccatown,Oklahoma,APP000042,2022-12-03,Personal Loan,Mobile,126336,48,ACC000042,2022-11-28,295836,3265.22,734,5,4,0,2,0,0,0,0.63,0,2022-12-31,25.2,1,0,1.12,1,0
CUST000043,37,F,Married,Post Graduate,Salaried,32309,Owned,East Erica,Iowa,APP000043,2022-07-03,Home Loan,Mobile,300000,180,ACC000043,2022-04-22,73646,3409.79,446,3,1,0,1,0,0,0,0.32,0,2022-12-31,41.15,1,0,0.78,0,2
CUST000044,67,F,Married,Graduate,Self-employed,21668,Rented,North Jason,Florida,APP000044,2022-06-26,Credit Card,Mobile,324106,12,ACC000044,2021-07-16,245659,28645.03,790,4,1,1,4,0,0,0,0.46,0,2022-12-31,73.25,2,0,0.86,0,2
CUST000045,39,M,Divorced,High School,Salaried,46923,Rented,Matthewshire,New Hampshire,APP000045,2022-11-06,Personal Loan,Online,267066,12,ACC000045,2021-03-09,277496,23603.74,724,3,3,1,4,0,0,0,0.06,0,2022-12-31,71.28,0,1,0.79,0,1
CUST000046,22,M,Divorced,High School,Unemployed,29592,Rented,Nunezfort,Rhode Island,APP000046,2022-05-16,Credit Card,Mobile,337482,24,ACC000046,2022-02-22,150710,15729.31,441,3,2,0,3,0,0,0,0.95,0,2022-12-31,36.19,3,1,0.65,0,0
CUST000047,44,M,Divorced,Post Graduate,Salaried,28038,Rented,Robertview,Missouri,APP000047,2022-10-30,Home Loan,Online,383265,180,ACC000047,2022-10-25,52146,4356.18,670,2,1,1,1,0,0,0,0.95,0,2022-12-31,56.12,1,0,1.15,1,3
CUST000048,49,M,Married,Graduate,Self-employed,15602,Parental,South Edwardport,Nevada,APP000048,2022-07-17,Auto Loan,Mobile,150000,48,ACC000048,2022-03-31,296333,3876.83,542,7,3,0,3,0,0,0,0.53,0,2022-12-31,53.25,1,0,0.97,0,2
CUST000049,59,F,Married,Post Graduate,Self-employed,8931,Parental,Bryanland,Indiana,APP000049,2022-08-31,Auto Loan,DSA,150000,12,ACC000049,2021-12-13,32963,13257.25,831,8,4,2,4,0,0,0,0.83,0,2022-12-31,64.09,2,0,0.68,0,3
CUST000050,66,M,Divorced,Graduate,Unemployed,3930,Rented,Evelynfurt,Montana,APP000050,2022-03-05,Credit Card,Online,44934,24,ACC000050,2021-01-11,123459,2094.28,857,8,3,1,1,0,0,0,0.09,0,2022-12-31,31.29,2,0,0.72,1,0
CUST000051,60,M,Single,Graduate,Salaried,22415,Parental,Allenburgh,Kansas,APP000051,2022-08-04,Home Loan,Online,404530,180,ACC000051,2021-10-29,79303,4597.88,857,8,4,2,4,1,0,0,0.09,0,2022-12-31,60.14,3,0,0.87,0,1
CUST000052,43,M,Married,Graduate,Salaried,3828,Rented,Port Monicastad,Idaho,APP000052,2022-02-10,Credit Card,DSA,138918,12,ACC000052,2022-02-03,238568,12277.8,356,4,1,2,0,0,0,0,0.9,0,2022-12-31,93.21,2,0,0.63,1,1
CUST000053,28,M,Divorced,Graduate,Salaried,17469,Owned,Gonzalesborough,Oklahoma,APP000053,2022-08-13,Personal Loan,Mobile,237232,48,ACC000053,2022-05-07,96552,6131.39,768,3,3,2,1,0,0,0,0.01,1,2022-12-31,51.37,2,0,0.76,0,1
CUST000054,65,F,Single,Graduate,Salaried,33068,Parental,Patriciaton,Alaska,APP000054,2022-07-05,Home Loan,Online,300000,180,ACC000054,2021-09-24,197986,3409.79,422,1,1,1,3,0,0,0,0.29,0,2022-12-31,87.02,0,0,1.02,0,2
CUST000055,29,F,Married,Post Graduate,Self-employed,26395,Rented,Wallaceberg,Massachusetts,APP000055,2022-11-18,Credit Card,Branch,170404,48,ACC000055,2021-12-21,142524,4404.18,764,6,3,2,2,0,0,0,0.78,0,2022-12-31,46.92,2,0,1.15,0,1
CUST000056,37,M,Married,Post Graduate,Salaried,23738,Rented,Murphyshire,Missouri,APP000056,2022-11-13,Auto Loan,Branch,38588,24,ACC000056,2022-01-06,31412,1798.5,501,6,1,2,0,1,0,0,0.37,0,2022-12-31,39.76,0,0,1.16,0,2
CUST000057,37,F,Married,Post Graduate,Self-employed,36210,Parental,Christopherfort,Iowa,APP000057,2022-11-18,Home Loan,Online,300000,180,ACC000057,2022-08-24,1798,3409.79,790,3,3,1,4,0,0,0,0.8,0,2022-12-31,64.83,0,0,0.91,0,1
CUST000058,28,F,Married,Post Graduate,Unemployed,18775,Rented,West Davidville,Michigan,APP000058,2022-07-26,Personal Loan,Mobile,313705,36,ACC000058,2021-11-09,157151,10270.3,730,3,3,1,4,0,1,0,0.9,0,2022-12-31,66.86,2,0,0.79,0,0
CUST000059,62,M,Single,Graduate,Self-employed,36752,Rented,West Tylerfurt,Ohio,APP000059,2022-08-16,Personal Loan,Mobile,281261,48,ACC000059,2021-10-31,25543,7269.34,505,2,2,1,2,0,0,0,0.01,1,2022-12-31,83.45,1,0,1.15,0,1
CUST000060,65,M,Married,High School,Unemployed,12206,Owned,Jennifertown,Michigan,APP000060,2022-12-27,Home Loan,Online,337427,180,ACC000060,2021-10-04,236031,3835.18,334,6,5,0,1,0,0,0,0.68,1,2022-12-31,29.57,1,1,1.07,0,0
CUST000061,49,M,Single,Graduate,Salaried,17497,Rented,Moralesport,Ohio,APP000061,2022-02-05,Personal Loan,Online,266012,36,ACC000061,2021-09-26,88941,8708.89,537,4,1,1,4,1,0,0,0.33,0,2022-12-31,52.43,0,1,0.95,0,3
CUST000062,68,M,Divorced,High School,Unemployed,25611,Rented,Teresabury,Utah,APP000062,2022-03-24,Personal Loan,Mobile,496671,60,ACC000062,2022-03-19,217423,10798.83,653,5,2,0,4,0,0,0,0.92,0,2022-12-31,58.62,0,0,1.1,0,0
CUST000063,35,F,Married,High School,Unemployed,3844,Rented,Richardton,Texas,APP000063,2022-10-17,Personal Loan,Mobile,403078,48,ACC000063,2022-01-23,86560,10417.76,526,9,3,2,1,0,0,0,0.11,0,2022-12-31,75.33,1,1,0.88,0,0
CUST000064,41,M,Married,Post Graduate,Unemployed,15542,Owned,New Richard,South Dakota,APP000064,2022-04-27,Home Loan,DSA,300000,180,ACC000064,2021-04-05,199812,3409.79,551,2,2,1,3,0,0,0,0.08,0,2022-12-31,13.71,0,0,0.67,0,0
CUST000065,28,M,Divorced,Graduate,Self-employed,33956,Owned,Hamptonborough,Indiana,APP000065,2022-09-24,Credit Card,Online,65147,36,ACC000065,2022-03-29,277910,2132.83,427,3,3,1,2,0,1,0,0.45,0,2022-12-31,94.54,1,0,1.16,0,3
CUST000066,69,M,Single,Graduate,Unemployed,39421,Owned,Port Jeffery,Missouri,APP000066,2022-09-29,Personal Loan,Online,344188,60,ACC000066,2021-11-18,252842,7483.48,418,2,2,0,2,0,0,0,0.47,1,2022-12-31,49.95,1,0,0.92,0,0
CUST000067,22,F,Single,High School,Self-employed,9342,Rented,South Richard,Utah,APP000067,2022-11-17,Personal Loan,Mobile,73036,36,ACC000067,2022-09-23,136365,2391.1,548,5,2,2,0,1,0,0,0.14,0,2022-12-31,33.76,1,0,1.02,0,3
CUST000068,54,F,Single,Post Graduate,Salaried,16000,Rented,South Shawnville,Illinois,APP000068,2022-07-09,Personal Loan,Branch,51284,24,ACC000068,2021-10-31,201908,2390.24,339,6,5,2,2,0,0,0,0.42,0,2022-12-31,85.1,0,0,0.84,0,1
CUST000069,63,F,Married,Post Graduate,Salaried,16447,Parental,Karenborough,Missouri,APP000069,2022-09-20,Credit Card,Online,362074,60,ACC000069,2022-06-13,84064,7872.37,749,9,3,1,0,0,0,0,0.3,0,2022-12-31,73.56,1,0,0.68,0,3
CUST000070,34,M,Single,Graduate,Unemployed,44077,Owned,Kimberlyport,Virginia,APP000070,2022-05-23,Home Loan,DSA,355678,180,ACC000070,2021-09-15,259667,4042.63,774,3,2,1,0,0,0,0,0.22,1,2022-12-31,91.01,1,0,0.76,0,0
CUST000071,29,M,Divorced,High School,Self-employed,37282,Parental,New Matthew,Virginia,APP000071,2022-08-21,Auto Loan,DSA,150000,24,ACC000071,2022-05-15,133309,6991.18,556,2,2,2,1,1,0,0,0.46,1,2022-12-31,38.11,1,0,0.63,0,1
CUST000072,56,M,Divorced,High School,Salaried,43353,Rented,North Nicole,Maine,APP000072,2022-11-22,Credit Card,DSA,407635,24,ACC000072,2021-12-30,39053,18998.99,687,3,1,2,4,0,0,0,0.19,0,2022-12-31,56.99,1,1,0.65,0,1
CUST000073,66,F,Married,Graduate,Self-employed,46289,Rented,Scottport,Vermont,APP000073,2022-07-06,Personal Loan,Online,137545,12,ACC000073,2020-11-29,267601,12156.46,626,5,2,1,2,0,0,0,0.91,0,2022-12-31,58.64,1,0,0.72,0,1
CUST000074,45,M,Single,Post Graduate,Self-employed,45399,Parental,Tamaraborough,Ohio,APP000074,2022-03-25,Auto Loan,Mobile,149864,24,ACC000074,2020-07-05,69364,6984.84,711,4,3,2,1,0,0,0,0.41,0,2022-12-31,93.33,1,1,0.94,0,2
CUST000075,23,M,Single,Graduate,Unemployed,23271,Owned,Port Jenniferton,South Carolina,APP000075,2022-07-09,Auto Loan,Mobile,150000,24,ACC000075,2020-12-29,64441,6991.18,790,4,4,1,2,0,0,0,0.61,0,2022-12-31,16.4,1,0,1.2,0,0
CUST000076,35,M,Single,Graduate,Self-employed,5906,Parental,Lake Danielmouth,Vermont,APP000076,2022-07-01,Home Loan,Mobile,300000,180,ACC000076,2021-09-14,88166,3409.79,895,5,4,1,0,0,0,0,0.42,0,2022-12-31,35.98,0,1,1.11,0,1
CUST000077,26,F,Divorced,Graduate,Self-employed,16678,Rented,Hernandezside,Vermont,APP000077,2022-12-31,Auto Loan,DSA,150000,24,ACC000077,2022-12-26,266830,6991.18,678,5,3,1,1,0,0,0,0.78,0,2022-12-31,26.23,0,1,0.65,0,3
CUST000078,46,M,Divorced,High School,Salaried,16295,Owned,Stoneburgh,Alaska,APP000078,2022-09-14,Home Loan,Branch,300000,180,ACC000078,2021-12-26,289298,3409.79,845,1,1,0,2,0,0,0,0.01,1,2022-12-31,32.82,0,0,1.11,0,2
CUST000079,66,M,Divorced,High School,Unemployed,29554,Owned,North Ronaldmouth,Florida,APP000079,2022-05-17,Credit Card,Branch,437421,60,ACC000079,2021-03-15,77058,9510.59,830,6,4,2,4,0,0,0,0.63,0,2022-12-31,51.25,3,0,0.92,0,0
CUST000080,21,F,Single,High School,Salaried,46668,Parental,Fullerton,Maryland,APP000080,2022-12-26,Personal Loan,Mobile,93316,12,ACC000080,2022-03-12,196290,8247.42,431,6,3,0,3,1,0,0,0.95,0,2022-12-31,41.68,1,0,1.0,0,2
CUST000081,59,M,Married,High School,Unemployed,20517,Owned,Coffeyburgh,Rhode Island,APP000081,2022-08-18,Personal Loan,Online,76237,24,ACC000081,2022-02-06,65518,3553.24,781,6,5,0,1,0,0,0,0.33,0,2022-12-31,43.55,2,1,0.68,1,0
CUST000082,41,M,Married,Graduate,Self-employed,6246,Rented,Matthewburgh,Indiana,APP000082,2022-11-28,Auto Loan,Mobile,150000,48,ACC000082,2022-03-04,154820,3876.83,655,8,5,2,1,0,0,0,0.8,1,2022-12-31,81.76,2,0,0.84,0,3
CUST000083,33,F,Divorced,Graduate,Unemployed,38684,Parental,New John,Montana,APP000083,2022-02-06,Home Loan,DSA,300000,180,ACC000083,2020-11-23,206322,3409.79,425,5,2,1,1,0,0,0,0.31,0,2022-12-31,89.05,0,0,1.13,0,0
CUST000084,22,F,Single,Post Graduate,Unemployed,27976,Parental,Markfurt,Nebraska,APP000084,2022-11-08,Personal Loan,Online,23571,12,ACC000084,2021-10-20,166211,2083.24,552,5,2,0,2,0,0,0,0.01,0,2022-12-31,15.99,1,0,0.86,0,0
CUST000085,56,M,Divorced,High School,Unemployed,20615,Parental,West Ebonyside,West Virginia,APP000085,2022-11-22,Home Loan,Mobile,385055,180,ACC000085,2021-05-15,187474,4376.52,767,9,4,2,2,0,0,0,0.5,0,2022-12-31,27.76,0,1,0.68,0,0
CUST000086,63,M,Married,Graduate,Salaried,42836,Owned,Lake Jacobshire,Colorado,APP000086,2022-03-29,Credit Card,Mobile,466032,48,ACC000086,2021-01-19,7572,12044.84,708,8,1,2,2,0,0,0,0.76,0,2022-12-31,67.05,0,0,0.79,0,2
CUST000087,63,F,Married,Graduate,Unemployed,22909,Rented,Richardbury,California,APP000087,2022-11-29,Home Loan,Mobile,300000,180,ACC000087,2022-04-23,251746,3409.79,795,3,3,1,2,0,0,0,0.82,1,2022-12-31,40.48,1,0,0.73,0,0
CUST000088,69,F,Married,Graduate,Unemployed,45412,Parental,Traceychester,North Dakota,APP000088,2022-05-06,Credit Card,Mobile,217120,48,ACC000088,2021-11-17,180196,5611.58,880,1,1,2,4,0,0,0,0.97,0,2022-12-31,31.6,0,0,1.01,0,0
CUST000089,33,M,Married,Graduate,Salaried,14005,Owned,Port Michael,Mississippi,APP000089,2022-11-29,Auto Loan,Mobile,150000,12,ACC000089,2021-12-22,185212,13257.25,476,4,4,1,4,0,0,0,0.96,0,2022-12-31,35.1,2,0,1.15,0,1
CUST000090,25,M,Married,Graduate,Unemployed,4921,Rented,Debraberg,Alabama,APP000090,2022-08-25,Home Loan,Mobile,321313,180,ACC000090,2022-03-27,295037,3652.03,525,9,2,2,0,0,0,0,0.55,0,2022-12-31,37.42,0,0,1.04,1,0
CUST000091,24,M,Divorced,High School,Salaried,32562,Rented,Juliaburgh,Ohio,APP000091,2022-07-14,Personal Loan,Online,498698,24,ACC000091,2020-10-23,247281,23243.24,346,3,3,1,4,0,1,0,0.67,0,2022-12-31,82.14,2,0,1.11,0,1
CUST000092,47,F,Married,Post Graduate,Unemployed,37220,Parental,Port Beckyborough,New York,APP000092,2022-08-17,Auto Loan,Branch,112829,48,ACC000092,2022-02-27,81407,2916.12,645,7,3,1,1,0,0,0,0.58,0,2022-12-31,21.61,1,0,1.08,1,0
CUST000093,26,M,Single,High School,Salaried,47114,Parental,Maryshire,New Jersey,APP000093,2022-09-20,Auto Loan,Branch,150000,24,ACC000093,2022-06-09,95870,6991.18,540,6,2,2,2,0,0,0,0.16,1,2022-12-31,70.26,0,0,0.61,0,2
CUST000094,55,M,Single,High School,Self-employed,13271,Rented,Butlerchester,New Hampshire,APP000094,2022-10-08,Credit Card,Mobile,465265,48,ACC000094,2022-03-17,188792,12025.02,363,9,1,0,4,0,0,0,0.14,0,2022-12-31,56.99,1,0,0.67,0,1
CUST000095,30,F,Divorced,Post Graduate,Salaried,3336,Rented,Michaelside,Alabama,APP000095,2022-10-13,Home Loan,Online,300000,180,ACC000095,2021-05-13,3805,3409.79,387,5,2,2,2,0,0,0,0.02,0,2022-12-31,35.2,0,0,0.85,0,3
CUST000096,29,F,Married,Graduate,Salaried,13875,Parental,Johnland,Wisconsin,APP000096,2022-12-29,Credit Card,DSA,77021,36,ACC000096,2022-10-22,49949,2521.57,869,2,2,0,3,0,0,0,0.22,0,2022-12-31,45.68,1,0,0.67,0,3
CUST000097,54,F,Divorced,Post Graduate,Unemployed,22266,Rented,Robertsfort,North Carolina,APP000097,2022-12-27,Home Loan,Mobile,300000,180,ACC000097,2022-06-21,112931,3409.79,896,7,4,1,3,0,0,0,0.31,1,2022-12-31,31.78,2,0,1.04,0,0
CUST000098,66,M,Single,Graduate,Unemployed,39725,Parental,New Joshua,Idaho,APP000098,2022-06-16,Home Loan,DSA,300000,180,ACC000098,2021-11-03,242386,3409.79,431,5,4,0,0,0,0,0,0.07,0,2022-12-31,61.98,0,0,0.64,0,0
